,candidate_name,candidate_party,link,seat_name,state
219,MUDGE John Damian,United Australia Party,https://www.abc.net.au/news/elections/federal/2019/guide/page/,Page,NSW
220,REID Dan,The Greens,https://www.abc.net.au/news/elections/federal/2019/guide/page/,Page,NSW
221,HOGAN Kevin,The Nationals,https://www.abc.net.au/news/elections/federal/2019/guide/page/,Page,NSW
222,DEEGAN Patrick,Labor,https://www.abc.net.au/news/elections/federal/2019/guide/page/,Page,NSW
223,JONES Daniel J,Liberal Democrats,https://www.abc.net.au/news/elections/federal/2019/guide/park/,Parkes,NSW
224,COULTON Mark,The Nationals,https://www.abc.net.au/news/elections/federal/2019/guide/park/,Parkes,NSW
225,PAULL David,The Greens,https://www.abc.net.au/news/elections/federal/2019/guide/park/,Parkes,NSW
226,AYOUB Jack,Labor,https://www.abc.net.au/news/elections/federal/2019/guide/park/,Parkes,NSW
227,LANDERS Will,Independent,https://www.abc.net.au/news/elections/federal/2019/guide/park/,Parkes,NSW
228,VAN DER STEEN Petrus Joannes Gijsbertus,United Australia Party,https://www.abc.net.au/news/elections/federal/2019/guide/park/,Parkes,NSW
229,CAMENZULI Charles,Liberal,https://www.abc.net.au/news/elections/federal/2019/guide/parr/,Parramatta,NSW
230,OWENS Julie,Labor,https://www.abc.net.au/news/elections/federal/2019/guide/parr/,Parramatta,NSW
231,LOKE Ganesh Sahadev,United Australia Party,https://www.abc.net.au/news/elections/federal/2019/guide/parr/,Parramatta,NSW
232,BRADLEY Phil,The Greens,https://www.abc.net.au/news/elections/federal/2019/guide/parr/,Parramatta,NSW
233,PAYARA Asma,Christian Democratic Party (Fred Nile Group),https://www.abc.net.au/news/elections/federal/2019/guide/parr/,Parramatta,NSW
